year,state,quarter,totalRXImputed
2019,CT,3,3077
2019,CT,4,3016
2019,DC,1,1307
2019,DC,2,1351
2019,DC,3,1374
2019,DC,4,1392
2019,DE,1,944
2019,DE,2,1037
2019,DE,3,1044
2019,DE,4,1091
2019,FL,1,9032
2019,FL,2,8922
2019,FL,3,9041
2019,FL,4,8729
2019,GA,1,6531
2019,GA,2,6517
2019,GA,3,6466
2019,GA,4,6388
2019,HI,1,4324
2019,HI,2,4039
2019,HI,3,4131
2019,HI,4,4055
2019,IA,1,1507
2019,IA,2,1573
2019,IA,3,1660
2019,IA,4,1607
2019,ID,1,718
2019,ID,2,816
2019,ID,3,917
2019,ID,4,827
2019,IL,1,14552
2019,IL,2,15600
2019,IL,3,16019
2019,IL,4,15902
2019,IN,1,5863
2019,IN,2,5782
2019,IN,3,5926
2019,IN,4,5710
2019,KS,1,1104
2019,KS,2,1111
2019,KS,3,1094
2019,KS,4,1065
2019,KY,1,11891
2019,KY,2,11831
2019,KY,3,11901
2019,KY,4,11486
2019,LA,1,9155
2019,LA,2,9148
2019,LA,3,9413
2019,LA,4,9419
2019,MA,1,7161
2019,MA,2,8047
2019,MA,3,7343
2019,MA,4,7481
2019,MD,1,5627
2019,MD,2,5773
2019,MD,3,5252
2019,MD,4,5437
2019,ME,1,421
2019,ME,2,479
2019,ME,3,505
2019,ME,4,537
2019,MI,1,13421
2019,MI,2,13736
2019,MI,3,14039
2019,MI,4,13705
2019,MN,1,5641
2019,MN,2,5790
2019,MN,3,5810
2019,MN,4,5854
2019,MO,1,3971
2019,MO,2,4049
2019,MO,3,4418
2019,MO,4,4150
2019,MS,1,2165
2019,MS,2,2111
2019,MS,3,2267
2019,MS,4,2059
2019,MT,1,1493
2019,MT,2,1526
2019,MT,3,1678
2019,MT,4,1571
2019,NC,1,5492
2019,NC,2,4614
2019,NC,3,5309
2019,NC,4,5044
2019,ND,1,557
2019,ND,2,544
2019,ND,3,541
2019,ND,4,540
2019,NE,1,886
2019,NE,2,873
2019,NE,3,868
2019,NE,4,729
2019,NH,1,719
2019,NH,2,758
2019,NH,3,567
2019,NH,4,499
2019,NJ,1,6266
2019,NJ,2,6795
2019,NJ,3,7010
2019,NJ,4,6758
2019,NM,1,2612
2019,NM,2,1196
2019,NM,3,2729
2019,NM,4,2381
