year,gennme,state,quarter,totalRXImputed
2017,Allopurinol,NY,1,23858
2017,Febuxostat,NY,1,1543
2017,Allopurinol,NY,2,24970
2017,Febuxostat,NY,2,1588
2017,Allopurinol,NY,3,26243
2017,Febuxostat,NY,3,1721
2017,Allopurinol,NY,4,25709
2017,Febuxostat,NY,4,1623
2017,Allopurinol,OH,1,20381
2017,Febuxostat,OH,1,891
2017,Allopurinol,OH,2,24343
2017,Febuxostat,OH,2,1173
2017,Allopurinol,OH,3,18732
2017,Febuxostat,OH,3,854
2017,Allopurinol,OH,4,18632
2017,Febuxostat,OH,4,845
2017,Allopurinol,OK,1,1133
2017,Febuxostat,OK,1,57
2017,Allopurinol,OK,2,1146
2017,Febuxostat,OK,2,59
2017,Allopurinol,OK,3,1109
2017,Febuxostat,OK,3,67
2017,Allopurinol,OK,4,1075
2017,Febuxostat,OK,4,70
2017,Allopurinol,OR,1,4896
2017,Febuxostat,OR,1,137
2017,Allopurinol,OR,2,6906
2017,Febuxostat,OR,2,214
2017,Allopurinol,OR,3,4788
2017,Febuxostat,OR,3,142
2017,Allopurinol,OR,4,4708
2017,Febuxostat,OR,4,154
2017,Allopurinol,PA,1,10620
2017,Febuxostat,PA,1,371
2017,Allopurinol,PA,2,15966
2017,Febuxostat,PA,2,542
2017,Allopurinol,PA,3,11657
2017,Febuxostat,PA,3,408
2017,Allopurinol,PA,4,11588
2017,Febuxostat,PA,4,392
2017,Allopurinol,RI,1,1206
2017,Febuxostat,RI,1,45
2017,Allopurinol,RI,2,1272
2017,Febuxostat,RI,2,49
2017,Allopurinol,RI,3,1348
2017,Febuxostat,RI,3,49
2017,Allopurinol,RI,4,1343
2017,Febuxostat,RI,4,42
2017,Allopurinol,SC,1,1834
2017,Febuxostat,SC,1,118
2017,Allopurinol,SC,2,1880
2017,Febuxostat,SC,2,137
2017,Allopurinol,SC,3,2041
2017,Febuxostat,SC,3,130
2017,Allopurinol,SC,4,2015
2017,Febuxostat,SC,4,129
2017,Allopurinol,SD,1,113
2017,Febuxostat,SD,1,13
2017,Allopurinol,SD,2,150
2017,Febuxostat,SD,2,29
2017,Allopurinol,SD,3,93
2017,Febuxostat,SD,3,0
2017,Allopurinol,SD,4,108
2017,Febuxostat,SD,4,0
2017,Allopurinol,TN,1,4061
2017,Febuxostat,TN,1,223
2017,Allopurinol,TN,2,4004
2017,Febuxostat,TN,2,233
2017,Allopurinol,TN,3,4043
2017,Febuxostat,TN,3,220
2017,Allopurinol,TN,4,4153
2017,Febuxostat,TN,4,222
2017,Allopurinol,TX,1,7379
2017,Febuxostat,TX,1,567
2017,Allopurinol,TX,2,7720
2017,Febuxostat,TX,2,563
2017,Allopurinol,TX,3,7840
2017,Febuxostat,TX,3,594
2017,Allopurinol,TX,4,7932
2017,Febuxostat,TX,4,589
2017,Allopurinol,UT,1,560
2017,Febuxostat,UT,1,39
2017,Allopurinol,UT,2,577
2017,Febuxostat,UT,2,39
2017,Allopurinol,UT,3,614
2017,Febuxostat,UT,3,19
2017,Allopurinol,UT,4,643
2017,Febuxostat,UT,4,19
2017,Allopurinol,VA,1,3431
2017,Febuxostat,VA,1,295
2017,Allopurinol,VA,2,3514
2017,Febuxostat,VA,2,292
2017,Allopurinol,VA,3,3793
2017,Febuxostat,VA,3,303
2017,Allopurinol,VA,4,3858
2017,Febuxostat,VA,4,297
2017,Allopurinol,VT,1,362
2017,Febuxostat,VT,1,18
2017,Allopurinol,VT,2,333
2017,Febuxostat,VT,2,0
2017,Allopurinol,VT,3,287
2017,Febuxostat,VT,3,12
2017,Allopurinol,VT,4,273
2017,Febuxostat,VT,4,0
2017,Allopurinol,WA,1,6489
2017,Febuxostat,WA,1,273
2017,Allopurinol,WA,2,6315
2017,Febuxostat,WA,2,276
2017,Allopurinol,WA,3,8381
2017,Febuxostat,WA,3,364
2017,Allopurinol,WA,4,6348
2017,Febuxostat,WA,4,274
2017,Allopurinol,WI,1,4345
2017,Febuxostat,WI,1,430
2017,Allopurinol,WI,2,4357
2017,Febuxostat,WI,2,409
2017,Allopurinol,WI,3,4307
2017,Febuxostat,WI,3,402
